year;title;studios;producers;winner;imageUrl
1989;Speed Zone;Orion Pictures;Murray Shostack;;https://upload.wikimedia.org/wikipedia/en/4/41/Speed_zone_movie.jpg
1990;The Adventures of Ford Fairlane;20th Century Fox;Steven Perry and Joel Silver;yes;https://upload.wikimedia.org/wikipedia/en/a/ac/Fordfairlaneposter.jpg
1990;Ghosts Can't Do It;Triumph Releasing;Bo Derek;yes;https://upload.wikimedia.org/wikipedia/en/c/cb/Ghosts_Can%27t_Do_It.jpg
1990;The Bonfire of the Vanities;Warner Bros.;Brian De Palma;;https://upload.wikimedia.org/wikipedia/en/d/d6/Bonfire_of_the_vanities_movie_poster.jpg
1990;Graffiti Bridge;Warner Bros.;Randy Phillips and Craig Rice;;https://upload.wikimedia.org/wikipedia/en/8/89/Graffiti_Bridge_%28film%29.jpg
1990;Rocky V;United Artists;Robert Chartoff and Irwin Winkler;;https://upload.wikimedia.org/wikipedia/en/a/a5/Rocky_v_poster.jpg
1991;Hudson Hawk;TriStar Pictures;Joel Silver;yes;https://upload.wikimedia.org/wikipedia/en/7/75/Hudson_hawk_ver2.jpg
1991;Cool as Ice;Universal Studios;Carolyn Pfeiffer and Lionel Wingram;;https://upload.wikimedia.org/wikipedia/en/5/54/Cool_as_Ice_poster.jpg
1991;Dice Rules;Seven Arts Productions;Loucas George;;https://upload.wikimedia.org/wikipedia/en/e/e5/Dice_Rules_%281991_film%29.jpg
1991;Nothing but Trouble;Warner Bros.;Lester Berman and Robert K. Weiss;;https://upload.wikimedia.org/wikipedia/en/d/d4/Nothing_but_trouble_poster.jpg
1991;Return to the Blue Lagoon;Columbia Pictures;William A. Graham;;https://upload.wikimedia.org/wikipedia/en/1/1a/Return-to-the-Blue-Lagoon-film-poster.jpg
1992;Shining Through;20th Century Fox;Carol Baum and Howard Rosenman;yes;https://upload.wikimedia.org/wikipedia/en/6/69/Shining_Through_poster.jpg
1992;The Bodyguard;Warner Bros.;Kevin Costner, Lawrence Kasdan and Jim Wilson;;https://upload.wikimedia.org/wikipedia/en/8/8f/The_Bodyguard_1992_Film_Poster.jpg
1992;Christopher Columbus: The Discovery;Warner Bros.;Alexander Salkind and Ilya Salkind;;https://upload.wikimedia.org/wikipedia/en/3/3a/Christopher_columbus_the_discovery.jpg
1992;Final Analysis;20th Century Fox;Paul Junger Witt, Charles Roven and Tony Thomas;;https://upload.wikimedia.org/wikipedia/en/c/cc/Finalanalysiscover.JPG
1992;Newsies;Walt Disney Pictures;Michael Finnell;;https://upload.wikimedia.org/wikipedia/en/5/53/Newsies-Poster.jpg
1993;Indecent Proposal;Paramount Pictures;Sherry Lansing;yes;https://upload.wikimedia.org/wikipedia/en/8/84/Indecent_proposal.jpg
1993;Body of Evidence;MGM, United Artists;Dino De Laurentiis;;https://upload.wikimedia.org/wikipedia/en/b/bb/Bodyofevidence1.jpg
1993;Cliffhanger;TriStar Pictures, Carolco Pictures;Renny Harlin and Alan Marshall;;https://upload.wikimedia.org/wikipedia/en/4/4a/Cliffhanger_Poster.jpg
1993;Last Action Hero;Columbia Pictures;John McTiernan and Stephen J. Roth;;https://upload.wikimedia.org/wikipedia/en/0/0e/Last_action_hero_ver2.jpg
1993;Sliver;Paramount Pictures;Robert Evans;;https://upload.wikimedia.org/wikipedia/en/7/79/Sliver_poster.jpg
1994;Color of Night;Hollywood Pictures;Buzz Feitshans and David Matalon;yes;https://upload.wikimedia.org/wikipedia/en/9/9f/Color_of_Night_poster.jpg
1994;North;Columbia Pictures, Castle Rock Entertainment;Rob Reiner and Alan Zweibel;;https://upload.wikimedia.org/wikipedia/en/7/73/Northposter.jpg
1994;On Deadly Ground;Warner Bros.;A. Kitman Ho, Julius R. Nasso and Steven Seagal;;https://upload.wikimedia.org/wikipedia/en/8/82/On_deadly_ground.jpg
1994;The Specialist;Warner Bros.;Jerry Weintraub;;https://upload.wikimedia.org/wikipedia/en/4/41/Specialist.jpg
1994;Wyatt Earp;Warner Bros.;Kevin Costner, Lawrence Kasdan and Jim Wilson;;https://upload.wikimedia.org/wikipedia/en/c/cf/Wyatt_earp_ver1.jpg
1995;Showgirls;MGM, United Artists;Charles Evans and Alan Marshall;yes;https://upload.wikimedia.org/wikipedia/en/d/d7/Showgirls_%281995_film_poster%29.jpg
1995;Congo;Paramount Pictures;Kathleen Kennedy and Sam Mercer;;https://upload.wikimedia.org/wikipedia/en/3/3f/Congo_movie_poster.jpg
1995;It's Pat;Touchstone Pictures;Charles B. Wessler;;https://upload.wikimedia.org/wikipedia/en/2/21/ItsPat.jpg
1995;The Scarlet Letter;Hollywood Pictures;Roland Joffé and Andrew G. Vajna;;https://upload.wikimedia.org/wikipedia/en/4/4c/Scarletlettermovieposter.jpg
1995;Waterworld;Universal Studios;Kevin Costner, John Davis, Charles Gordon and Lawrence Gordon;;https://upload.wikimedia.org/wikipedia/en/5/5f/Waterworld.jpg
1996;Striptease;Columbia Pictures, Castle Rock Entertainment;Andrew Bergman and Mike Lobell;yes;https://upload.wikimedia.org/wikipedia/en/7/74/Striptease_movie_poster.jpg
1996;Barb Wire;PolyGram Filmed Entertainment, Gramercy Pictures;Todd Moyer, Mike Richardson and Brad Wyman;;https://upload.wikimedia.org/wikipedia/en/6/61/Barbwireposter.jpg
1996;Ed;Universal Studios;Rosalie Swedlin;;https://upload.wikimedia.org/wikipedia/en/0/03/Ed_poster.jpg
1996;The Island of Dr. Moreau;New Line Cinema;Edward R. Pressman;;https://upload.wikimedia.org/wikipedia/en/5/5b/Island_of_dr_moreau_ver2.jpg
1996;The Stupids;New Line Cinema, Savoy Pictures;Leslie Belzberg;;https://upload.wikimedia.org/wikipedia/en/b/be/The_Stupids.jpg
1997;The Postman;Warner Bros.;Kevin Costner, Steve Tisch and Jim Wilson;yes;https://upload.wikimedia.org/wikipedia/en/2/27/The_Postman_film_poster.jpg
